Name of Person or Organization;Date of Gift;Value of Gift
CARNEGIE HALL;10.05.2007;$350
CARNEGIE HALL SOCIETY;03.03.2008;$300
CARNEGIE HALL SOCIETY;09.05.2008;$150
CARNEGIE INSTITUTE;8/29/2008;$2,000
CARNEGIE MELLON UNIVERSITY;11/15/2007;$100
CARNEGIE MELLON UNIVERSITY;02.04.2008;$100
CAROLINA ADOPTION SERVICES INC;02.04.2008;$500
CARROLL CENTER FOR THE BLIND;02.04.2008;$500
CARTER CENTER INC;05.01.2008;$200
CARTER CENTER INC;05.07.2008;$100
CATALYST;01.09.2008;$25,000
CATALYST;7/16/2008;$50,000
CATHEDRAL PREPARATORY SEMINARY;11/15/2007;$250
CATHEDRAL PREPARATORY SEMINARY;03.03.2008;$1,000
CATHEDRAL PREPARATORY SEMINARY;7/23/2008;$500
CATHOLIC CHARITIES;09.05.2008;$50
CATHOLIC CHARITIES CYO;4/25/2008;$1,500
CATHOLIC RELIEF SERVICES;05.07.2008;$1,000
CENTER FOR WORK-LIFE POLICY;3/17/2008;$75,000
CENTER FOR WORK-LIFE POLICY;04.10.2008;$75,000
CENTRAL ASIA INSTITUTE;12/19/2007;$500
CENTRAL ASIA INSTITUTE;06.10.2008;$100
CENTRAL PARK CONSERVANCY;02.04.2008;$250
CENTRAL PARK CONSERVANCY;05.01.2008;$450
CENTRAL PARK CONSERVANCY;7/16/2008;$750
CHABAD OF BRANDEIS INC;4/25/2008;$450
CHAI LIFELINE;10.05.2007;$250
CHAI LIFELINE;05.01.2008;$100
CHAI LIFELINE;7/16/2008;$100
CHALLENGED ATHLETES FOUNDATION                         ;02.04.2008;$1,000
CHALLENGED ATHLETES FOUNDATION                         ;3/17/2008;$1,050
CHALLENGED ATHLETES FOUNDATION                         ;4/25/2008;$12,500
CHALLENGED ATHLETES FOUNDATION                         ;05.07.2008;$100
CHAMINADE HIGH SCHOOL;10.05.2007;$1,000
CHAMINADE HIGH SCHOOL;10/24/2007;$500
CHAMINADE HIGH SCHOOL;11/15/2007;$200
CHAMINADE HIGH SCHOOL;05.01.2008;$300
CHAMINADE HIGH SCHOOL;05.07.2008;$2,500
CHAMINADE HIGH SCHOOL;06.10.2008;$1,500
CHAPIN SCHOOL LTD;10.05.2007;$50
CHAPIN SCHOOL LTD;02.04.2008;$75
CHAPIN SCHOOL LTD;05.07.2008;$250
CHAPIN SCHOOL LTD;7/16/2008;$250
CHAPIN SCHOOL LTD;09.05.2008;$1,000
CHARCOT-MARIE-TOOTH ASSOCIATION;7/23/2008;$250
CHARITIES AID FOUNDATION AMERICA;10.05.2007;$2,000
CHARITIES AID FOUNDATION AMERICA;05.01.2008;$2,000
CHARITY GUILD OF FT LAUDERDALE;03.03.2008;$1,000
CHARITY PROJECTS ENTERTAINMENT FUND;3/17/2008;$1,100
CHARRETTE SCHOOL PS 3;06.02.2008;$400
CHATHAM EMERGENCY SQUAD;05.01.2008;$100
CHEER ME UP FOUNDATION INC;5/20/2008;$500
CHELSEA DAY SCHOOL INC;12.04.2007;$500
CHELSEA FRAMES;10/30/2007;$244
CHELSEA FRAMES;11/26/2007;$70
CHELSEA FRAMES;06.05.2008;$601
CHELSEA FRAMES;06.05.2008;$1,768
CHESS IN THE SCHOOLS;3/17/2008;$50
CHESS IN THE SCHOOLS;7/23/2008;$50
CHHAYA COMMUNITY DEVELOPMENT;03.03.2008;$200
CHICAGOLAND LUTHERAN EDUCATTIONAL FDTN;02.04.2008;$2,000
CHICO STATE UNIVERSITY FOUNDATION;9/21/2007;$200
CHILD FOUNDATION;02.04.2008;$1,890
CHILD HEALTH FOUNDATION;12.04.2007;$100
CHILDREN FOR CHILDREN FOUNDATION;10/29/2007;$3,301
CHILDREN FOR CHILDREN FOUNDATION;11/13/2007;$3,249
CHILDREN INTERNATIONAL;7/16/2008;$904
CHILDRENFO;10.03.2007;$6,225
CHILDRENFO;10.03.2007;$6,225
CHILDRENIN;10/24/2007;$144
CHILDRENIN;7/16/2008;$84
CHILDRENIN;09.05.2008;$84
CHILDREN'S AID SOCIETY;05.01.2008;$1,500
CHILDRENS BURN FOUNDATION;12/19/2007;$100
CHILDRENS CANCER RESEARCH FUND;12.04.2007;$50
CHILDRENS CANCER RESEARCH FUND;03.03.2008;$50
CHILDREN'S CARDIOMYOPATHY FOUNDATION;11/15/2007;$500
CHILDREN'S CARDIOMYOPATHY FOUNDATION;05.07.2008;$500
CHILDREN'S CARDIOMYOPATHY FOUNDATION;09.05.2008;$100
CHILDREN'S FUND FOR GLYCOGEN;05.01.2008;$21,105
CHILDREN'S FUND FOR GLYCOGEN;5/14/2008;$100
CHILDREN'S FUND FOR GLYCOGEN;06.10.2008;$100
CHILDREN'S HEALTH FUND;7/23/2008;$100
CHILDREN'S HOSPITAL BOSTON;11/15/2007;$500
CHILDREN'S HOSPITAL BOSTON;05.07.2008;$50
CHILDREN'S HOSPITAL BOSTON;06.10.2008;$150
CHILDRENS MEDICAL FUND OF NEW YORK;4/25/2008;$1,500
CHILDRENS MUSEUM OF MANHATTAN;02.04.2008;$275
CHILDREN'S MUSEUM OF THE ARTS;02.04.2008;$2,000
CHILTON MEMORIAL HOSPITAL FOUNDATION;12/19/2007;$150
CHINESE AMERICAN SERVICE LEAGUE;10.05.2007;$250
CHINESE CENTER ON LONG ISLAND;02.04.2008;$1,270
CHMOL;10/24/2007;$50
CHMOL;05.01.2008;$50
CHOATE ROSEMARY HALL;10/24/2007;$1,000
CHOATE ROSEMARY HALL;06.10.2008;$600
CHOATE ROSEMARY HALL;7/23/2008;$2,000
CHRISTIAN CHILDREN'S FUND;12/19/2007;$212
CHRISTIANH;4/25/2008;$150
CHRISTIANH;06.10.2008;$7,000
CHRISTOPHER COLUMBUS HS;4/25/2008;$50
CHRISTOPHER COLUMBUS HS;09.05.2008;$300
CHRISTOPHER REEVE FOUNDATION;10.12.2007;$1,150
CHRISTOPHER REEVE FOUNDATION;10/24/2007;$100
CHRISTOPHER REEVE FOUNDATION;11.06.2007;$100
CHRISTOPHER REEVE FOUNDATION;11/15/2007;$400
CHRISTOPHER REEVE FOUNDATION;12/19/2007;$725
CHRISTOPHER REEVE FOUNDATION;1/15/2008;$250
CHRISTOPHER REEVE FOUNDATION;02.04.2008;$870
CHRISTOPHER REEVE FOUNDATION;05.01.2008;$2,180
CHRISTOPHER REEVE FOUNDATION;05.07.2008;$300
CHURCH WORLD SERVICE INC;4/25/2008;$250
CHURCHILL SCHOOL & CENTER;5/20/2008;$1,200
CINTERANDES USA INC;01.10.2008;$2,000
CITY COLLEGE OF NEW YORK;10.05.2007;$100
CITY COLLEGE OF NEW YORK;10/24/2007;$100
CITY HARVEST;02.04.2008;$100
CITY HARVEST;05.01.2008;$183
CITY HARVEST;05.07.2008;$100
CITY HARVEST;7/16/2008;$200
CITY HARVEST;7/23/2008;$100
CITY HARVEST;09.05.2008;$135
CITY SCHOOL;7/16/2008;$250
CITYKIDS FOUNDATION INC;02.04.2008;$2,610
CITYKIDS FOUNDATION INC;07.02.2008;$2,000
CITYMEALS-ON-WHEELS;10.05.2007;$240
CITYMEALS-ON-WHEELS;05.07.2008;$50
CITYMEALS-ON-WHEELS;06.10.2008;$100
CITYMEALS-ON-WHEELS;7/16/2008;$120
CITYMEALS-ON-WHEELS;09.05.2008;$96
CLASP CHILDRENS CENTER;10.05.2007;$100
CLASSIC DESIGN SERVICES INC;06.03.2008;$797
CLEVELAND ORCHESTRA;12.04.2007;$4,000
CLINTON SCHOOL PTA;4/25/2008;$200
COALITION FOR ASIAN AMERICAN C                         ;10/22/2007;$10,000
COCO POINT FUND;12/19/2007;$500
COLBY COLLEGE;7/16/2008;$150
COLD SPRING HARBOR FISH;12/19/2007;$1,500
COLGATE UNIVERSITY;10.05.2007;$1,000
COLGATE UNIVERSITY;10/24/2007;$100
COLGATE UNIVERSITY;09.05.2008;$100
COLLEGE OF NEW JERSEY FOUNDATION;3/17/2008;$100
COLLEGE OF THE HOLY CROSS;10.05.2007;$1,500
COLLEGE OF THE HOLY CROSS;06.10.2008;$1,000
COLLEGE OF THE HOLY CROSS;09.05.2008;$500
COLLEGE OF WILLIAM AND MARY;10.05.2007;$2,000
COLLEGE OF WILLIAM AND MARY;12/19/2007;$1,250
COLLEGE OF WILLIAM AND MARY;09.05.2008;$250
COLLEGES OF THE SENECA HOBART & WILLIAM;7/16/2008;$1,100
COLLEGIATE SCHOOL;12/19/2007;$1,000
COLLEGIATE SCHOOL;02.04.2008;$1,000
COLLEGIATE SCHOOL;05.01.2008;$250
COLLEGIATE SCHOOL;05.01.2008;$1,000
COLLEGIATE SCHOOL;05.07.2008;$1,000
COLLEGIATE SCHOOL;09.05.2008;$125
COLUMBIA BUSINESS SCHOOL;10.05.2007;$1,002
COLUMBIA BUSINESS SCHOOL;10/25/2007;$500
COLUMBIA BUSINESS SCHOOL;12.05.2007;$779
COLUMBIA BUSINESS SCHOOL;12/19/2007;$600
COLUMBIA BUSINESS SCHOOL;04.09.2008;$1,000
COLUMBIA GRAMMAR AND PREPARATORY SCHOOL;02.04.2008;$1,000
COLUMBIA GRAMMAR AND PREPARATORY SCHOOL;05.01.2008;$3,000
COLUMBIA GRAMMAR AND PREPARATORY SCHOOL;05.07.2008;$2,000
COLUMBIA UNIVERSITY                                    ;10.05.2007;$450
COLUMBIA UNIVERSITY                                    ;10.09.2007;$1,000
COLUMBIA UNIVERSITY                                    ;10.09.2007;$2,000
COLUMBIA UNIVERSITY                                    ;10/18/2007;$1,000
COLUMBIA UNIVERSITY                                    ;10/18/2007;$2,000
COLUMBIA UNIVERSITY                                    ;10/24/2007;$1,200
COLUMBIA UNIVERSITY                                    ;11/30/2007;$2,000
COLUMBIA UNIVERSITY                                    ;12.06.2007;$1,000
COLUMBIA UNIVERSITY                                    ;12.06.2007;$2,000
COLUMBIA UNIVERSITY                                    ;02.04.2008;$1,000
COLUMBIA UNIVERSITY                                    ;05.01.2008;$50
COLUMBIA UNIVERSITY                                    ;05.07.2008;$3,000
COLUMBIA UNIVERSITY                                    ;5/14/2008;$2,000
COLUMBIA UNIVERSITY                                    ;06.10.2008;$3,100
COLUMBIA UNIVERSITY                                    ;7/16/2008;$3,054
COLUMBIA UNIVERSITY                                    ;7/23/2008;$1,500
COLUMBIA UNIVERSITY                                    ;8/22/2008;$7,500
COLUMBIA UNIVERSITY                                    ;09.05.2008;$500
COLUMBIA UNIVERSITY                    A2245                ;11/30/2007;$1,000
COLUMBUS ACADEMY;02.04.2008;$2,000
COMBINED JEWISH PHILANTHROPIES;10/24/2007;$500
COMMUNITIES IN SCHOOLS;03.03.2008;$2,000
COMMUNITIES IN SCHOOLS OF THE;12/19/2007;$2,000
COMMUNITY ACCESS UNLIMITED;03.03.2008;$200
COMMUNITY FOOD BANK OF NEW JERSEY;10/24/2007;$50
COMMUNITY FOOD BANK OF NEW JERSEY;05.07.2008;$50
COMMUNITY FOOD BANK OF NEW JERSEY;7/16/2008;$50
COMMUNITY FOUNDATION OF GREATER DUBUQUE;06.10.2008;$2,000
COMMUNITY FUND OF BRONXVILLE;10.05.2007;$2,000
COMMUNITY FUND OF BRONXVILLE;05.01.2008;$1,000
COMMUNITY FUNDS INC;05.07.2008;$250
COMMUNITY OPTIONS INC;12/19/2007;$2,000
COMMUNITY PANTRY;4/25/2008;$500
COMMUNITY SOUP KITCHEN;02.04.2008;$100
COMPA FOOD BANK;12.04.2007;$50
COMPA FOOD BANK;01.10.2008;$50
COMPASSION INTERNATIONAL INC;10/24/2007;$360
CONCORDIA COLLEGE-NY;02.04.2008;$1,500
CONFERENCE BOARD INC;1/29/2008;$4,350
CONGREGATION EZRAS YISROEL OF BOYAN;10.05.2007;$180
CONNECTICU;05.01.2008;$500
CONNECTICUT COLLEGE;09.05.2008;$500
CONNERS CAUSE FOR CHILDREN;11.01.2007;$2,500
CONNERS CAUSE FOR CHILDREN;6/19/2008;$2,500
CONSERVART ASSOCIATES INC;12/19/2007;$250
CONSERVART ASSOCIATES INC;05.05.2008;$550
CONSTITUTIONAL RIGHTS;10.05.2007;$100
CONVENT OF THE SACRED HEART;02.04.2008;$1,100
CONVENT OF THE SACRED HEART;02.04.2008;$2,000
CONVENT OF THE SACRED HEART;05.07.2008;$550
CONVENT OF THE SACRED HEART;06.10.2008;$500
CONVENT OF THE SACRED HEART;7/23/2008;$1,000
COOKESCRAT;02.04.2008;$1,100
COOKESCRAT;02.04.2008;$1,999
COOKESCRAT;2/26/2008;$2,698
COOPER UNION;10/24/2007;$100
COOPER UNION;02.04.2008;$1,055
COOPER UNION;05.07.2008;$635
CORLEARS SCHOOL;09.05.2008;$2,000
CORNELL UNIVERSITY;10.05.2007;$4,500
CORNELL UNIVERSITY;10/24/2007;$250
CORNELL UNIVERSITY;12/19/2007;$50
CORNELL UNIVERSITY;02.04.2008;$3,600
CORNELL UNIVERSITY;2/29/2008;$125
CORNELL UNIVERSITY;05.01.2008;$500
CORNELL UNIVERSITY;05.07.2008;$4,850
CORNELL UNIVERSITY;06.05.2008;$25,000
CORNELL UNIVERSITY;06.10.2008;$4,500
CORNELL UNIVERSITY;7/16/2008;$3,625
CORNELL UNIVERSITY;8/22/2008;$7,500
CORNELL UNIVERSITY;8/22/2008;$7,500
CORNELL UNIVERSITY;09.05.2008;$250
CORPORATE VOLUNTEERS OF NEW YORK;01.09.2008;$500
CORPORATION OF HAVERFORD COLLEGE;10.05.2007;$2,000
COUNCIL OF DARIEN SCHOOL PARENTS;5/20/2008;$250
COVENANT HOUSE;12.04.2007;$50
COVENANT HOUSE;12/19/2007;$50
COVENANT HOUSE;1/22/2008;$50
COVENANT HOUSE;02.04.2008;$1,000
COVENANT HOUSE;05.01.2008;$50
COVENANT HOUSE;06.10.2008;$200
CRADDOCKPA;9/26/2007;$923
CRADLE OF HOPE ADOPTION CENTER INC;3/28/2008;$2,000
CRANBROOK EDUCATIONAL;06.10.2008;$2,000
CREATING OPPORTUNITIES FOR WOMEN INC;4/25/2008;$375
CREATING OPPORTUNITIES FOR WOMEN INC;7/23/2008;$250
CRETIN-DERHAM HALL;06.10.2008;$200
CROHN'S & COLITIS FOUNDATION;02.04.2008;$2,000
CROHN'S & COLITIS FOUNDATION;7/16/2008;$350
CROWNPOINT;1/24/2008;$40
CROWNPOINT;02.04.2008;$50
CROWNPOINT;2/26/2008;$50
CRY CHILD RELIEF AND YOU AMERCA INC;7/23/2008;$216
CUMAC ECHO;12/19/2007;$350
CUREDUCHENNE;12.04.2007;$500
CURTIS SCHOOL FOUNDATION;05.07.2008;$2,000
CYSTIC FIBROSIS FOUNDATION;10.05.2007;$100
CYSTIC FIBROSIS FOUNDATION;10.05.2007;$1,000
CYSTIC FIBROSIS FOUNDATION;02.04.2008;$112
CYSTIC FIBROSIS FOUNDATION;06.10.2008;$500
CYSTIC FIBROSIS FOUNDATION;7/16/2008;$1,550
CYSTIC FIBROSIS FOUNDATION;7/23/2008;$100
CYSTIC FIBROSIS FOUNDATION;7/23/2008;$100
CYSTIC FIBROSIS FOUNDATION;09.05.2008;$150
CYSTIC FIBROSIS FOUNDATION;09.05.2008;$250
DALLAS MUSEUM ART;05.07.2008;$625
DALTON SCHOOL;11/15/2007;$1,250
DALTON SCHOOL;02.04.2008;$4,000
DALTON SCHOOL;05.01.2008;$2,000
DALTON SCHOOL;05.07.2008;$2,000
DALTON SCHOOL;7/23/2008;$2,000
DAMON RUNYON CANCER RESEARCH FOUNDATION;3/14/2008;$243
DANA HALL SCHOOLS;12.04.2007;$500
DANA HALL SCHOOLS;1/22/2008;$500
DANA-FARBER CANCER INSTITUTE;10.05.2007;$50
DANA-FARBER CANCER INSTITUTE;10/24/2007;$100
DANA-FARBER CANCER INSTITUTE;11/15/2007;$100
DANA-FARBER CANCER INSTITUTE;12/19/2007;$50
DANA-FARBER CANCER INSTITUTE;02.04.2008;$150
DANA-FARBER CANCER INSTITUTE;05.01.2008;$750
DANA-FARBER CANCER INSTITUTE;05.07.2008;$150
DANA-FARBER CANCER INSTITUTE;7/16/2008;$450
DANA-FARBER CANCER INSTITUTE;09.05.2008;$100
DARDENSCHO;10.05.2007;$2,750
DARDENSCHO;10/24/2007;$500
DARDENSCHO;05.01.2008;$2,150
DARDENSCHO;06.10.2008;$2,050
DARIEN EMS POST 53 INC.;10/24/2007;$150
DARIEN EMS POST 53 INC.;1/15/2008;$50
DARIEN EMS POST 53 INC.;05.07.2008;$50
DARIEN EMS POST 53 INC.;7/23/2008;$50
DARIEN LIBRARY;12/19/2007;$50
DARIEN LIBRARY;02.04.2008;$500
DARIEN LIBRARY;7/23/2008;$50
DARIEN NATURE CENTER INC;4/25/2008;$100
DARIEN TECHNOLOGY FOUNDATION;02.04.2008;$1,000
DARTMOUTH COLLEGE                                      ;11/30/2007;$1,500
DARTMOUTH COLLEGE                                      ;11/30/2007;$1,500
DARTMOUTH COLLEGE                                      ;11/30/2007;$15,000
DARTMOUTH COLLEGE                                      ;1/22/2008;$1,500
DARTMOUTH COLLEGE                                      ;1/22/2008;$1,500
DARTMOUTH COLLEGE                                      ;3/25/2008;$10,000
DARTMOUTH COLLEGE                                      ;04.02.2008;$90
DARTMOUTH COLLEGE                                      ;7/16/2008;$3,050
DARTMOUTH COLLEGE                                      ;7/23/2008;$1,000
DARTMOUTH COLLEGE                                      ;09.05.2008;$725
DC SOCCER;3/17/2008;$100
DEDHAM COUNTRY DAY SCHOOL;05.01.2008;$500
DEDHAM COUNTRY DAY SCHOOL;09.05.2008;$50
DEERFIELD ACADEMY;10/24/2007;$1,945
DELBARTON SCHOOL;05.01.2008;$75
DELBARTON SCHOOL;06.10.2008;$100
DEMING SCHOLARS MBA PROGRAM;11/28/2007;$2,500
DENISON UNIVERSITY;12/19/2007;$2,000
DENISON UNIVERSITY;1/22/2008;$125
DENISON UNIVERSITY;7/23/2008;$100
DENISON UNIVERSITY;09.05.2008;$250
DENVER RESCUE MISSION;10.05.2007;$1,050
DENVER RESCUE MISSION;10/24/2007;$50
DENVER RESCUE MISSION;12/19/2007;$50
DENVER RESCUE MISSION;05.01.2008;$50
DEVELOPMENTS IN LITERACY;12/19/2007;$1,000
DICKINSON COLLEGE;10.05.2007;$500
DICKINSON COLLEGE;02.04.2008;$1,250
DICKINSON COLLEGE;06.10.2008;$100
DIRECT CHANGE;10.05.2007;$100
DISABLED AMERICAN VETERANS CHARITABLE;05.07.2008;$50
DISABLED AMERICAN VETERANS CHARITABLE;07.02.2008;$50
DOCTORS WITHOUT BORDERS;10.05.2007;$50
DOCTORS WITHOUT BORDERS;10/24/2007;$50
DOCTORS WITHOUT BORDERS;11/15/2007;$300
DOCTORS WITHOUT BORDERS;02.04.2008;$1,080
DOCTORS WITHOUT BORDERS;05.01.2008;$750
DOCTORS WITHOUT BORDERS;05.07.2008;$500
DOCTORS WITHOUT BORDERS;06.10.2008;$300
DOE FUND;12/19/2007;$500
DOE FUND;05.01.2008;$150
DOE FUND;05.07.2008;$100
DOE FUND;09.05.2008;$100
DOMINICAN ACADEMY;12/19/2007;$250
DOMINICAN ACADEMY;02.04.2008;$100
DONORS CHOOSE;10/24/2007;$50
DONORS CHOOSE;11/15/2007;$240
DONORS CHOOSE;06.10.2008;$119
DOROT INC.;10.05.2007;$50
DOROT INC.;05.07.2008;$100
DOUBLE H RANCH;4/25/2008;$2,000
DOUBLE H RANCH;09.05.2008;$1,500
DOVERMIDDL;9/24/2007;$2,000
DOWNEY SIDE INC;3/17/2008;$2,000
DREAM PROJECT;10.05.2007;$50
DREAM PROJECT;10/24/2007;$7,535
DREAM PROJECT;11/15/2007;$18,028
DREAM PROJECT;12/19/2007;$74
DREAM PROJECT;02.01.2008;$1,500
DREAM PROJECT;02.04.2008;$4,652
DREAM PROJECT;06.09.2008;$2,500
DRUMMOND FRAMING;9/27/2007;$27
DRUMMOND FRAMING;10/26/2007;$135
DRUMMOND FRAMING;12.04.2007;$135
DRUMMOND FRAMING;12/18/2007;$108
DRUMMOND FRAMING;1/24/2008;$16
DRUMMOND FRAMING;1/24/2008;$49
DRUMMOND FRAMING;1/24/2008;$379
DRUMMOND FRAMING;02.04.2008;$1,100
DRUMMOND FRAMING;2/26/2008;$16
DRUMMOND FRAMING;2/26/2008;$65
DRUMMOND FRAMING;03.07.2008;$27
DRUMMOND FRAMING;05.09.2008;$22
DRUMMOND FRAMING;05.09.2008;$33
DUKE UNIVERSITY;10.05.2007;$1,200
DUKE UNIVERSITY;10/24/2007;$200
DUKE UNIVERSITY;05.01.2008;$250
DUKE UNIVERSITY;05.07.2008;$300
DUKE UNIVERSITY;5/14/2008;$1,000
DUKE UNIVERSITY;7/16/2008;$2,500
DUKE UNIVERSITY;7/23/2008;$1,500
DUKE UNIVERSITY;09.05.2008;$150
DUMB FRIENDS LEAGUE;12/19/2007;$100
DUMB FRIENDS LEAGUE;05.07.2008;$50
DUMB FRIENDS LEAGUE;7/23/2008;$1,500
DWIGHT SCHOOL FOUNDATION;7/16/2008;$200
DYSAUTONOMIA FOUNDATION INC;4/25/2008;$2,000
EAST SIDE HOUSE SETTLEMENT;10.05.2007;$125
EAST WOODS SCHOOL INC;5/20/2008;$1,000
EASTER SEALS NEW YORK;5/20/2008;$100
EASTER SEALS OF NEW JERSEY;3/17/2008;$1,000
EASTER SEALS OF NEW JERSEY;8/26/2008;$1,000
EDEN INSTITUTE FOUNDATION INC;02.04.2008;$100
EDUCARE FOUNDATION;12/19/2007;$751
EDUCATIONAL ALLIANCE;10/24/2007;$500
EDUCATIONAL ALLIANCE;09.05.2008;$500
EDUCATIONAL PARTNERSHIP FOR;03.03.2008;$300
EKAL VIDYALAY FOUNDATION OF USA;12/19/2007;$1,095
EL NINO REY;07.02.2008;$250
EL RANCHITO DE LOS NINOS INC;3/17/2008;$500
ELECTRONIC FRONTIER FOUNDATION INC;4/25/2008;$200
ELIZABETH STONE HOUSE TRANSITIONAL;10.05.2007;$100
ELON UNIVERSITY;10/24/2007;$700
ELON UNIVERSITY;09.05.2008;$500
EMORY UNIVERSITY;06.10.2008;$500
EMPIRE STATE PRIDE AGENDA FOUNDATION;10/24/2007;$1,200
EMPIRE STATE PRIDE AGENDA FOUNDATION;12/19/2007;$50
EMPIRE STATE PRIDE AGENDA FOUNDATION;4/23/2008;$10,000
EMPOWER EMERGING MARKETS FOUNDATION;03.03.2008;$1,500
EMPOWER EMERGING MARKETS FOUNDATION;4/25/2008;$6,950
ENACT INC;4/25/2008;$100
ENGINEERING MINISTERIES INTL;10.05.2007;$200
ENGINEERING MINISTERIES INTL;10/24/2007;$200
ENGINEERING MINISTERIES INTL;11/15/2007;$200
ENGLEWOOD HOSPITAL & MEDICAL CTR;03.03.2008;$675
ENGLEWOOD HOSPITAL&MEDICAL;4/25/2008;$100
ENTERTAINMENT INDUSTRY FOUNDATION;10.08.2007;$890
ENTERTAINMENT INDUSTRY FOUNDATION;10.12.2007;$1,410
ENTERTAINMENT INDUSTRY FOUNDATION;10/24/2007;$100
ENTERTAINMENT INDUSTRY FOUNDATION;7/16/2008;$100
ENTERTAINMENT INDUSTRY FOUNDATION;7/23/2008;$50
ENTERTAINMENT INDUSTRY FOUNDATION;09.05.2008;$220
ENVIRONMENTAL DEFENSE INC.;05.01.2008;$200
EPIPHANY SCHOOL FOUNDATION;06.10.2008;$150
EPISCOPAL ACADEMY;7/16/2008;$125
EPISCOPAL ACADEMY;7/23/2008;$250
EPISCOPAL HIGH SCHOOL;7/23/2008;$500
EPISCOPAL SCHOOL OF THE CITY;10/24/2007;$500
EPISCOPAL SCHOOL OF THE CITY;02.04.2008;$2,000
ESSEX FELLS FOUNDATION FOR EDUCATIONAL;05.01.2008;$1,850
ETHICAL CULTURE FIELDSTON;05.07.2008;$100
ETHICAL CULTURE FIELDSTON;09.05.2008;$1,000
EVANS SCHOLARS FOUNDATION;02.04.2008;$1,000
EVANS SCHOLARS FOUNDATION;05.01.2008;$1,850
EVAS VILLAGE INC;10.12.2007;$280
EVERYBODY WINS FOUNDATION;11.06.2007;$15,000
EXECUTIVE LEADERSHIP COUNCIL;09.09.2008;$12,500
EZRAS TORAH;3/17/2008;$100
FABRETTO CHILDREN'S FOUNDATION;09.05.2008;$1,250
FAIRFIELD COLLEGE PREP SCHOOL;10.05.2007;$375
FAIRFIELD COUNTRY DAY SCHOOL;05.07.2008;$2,000
FAIRFIELD COUNTRY DAY SCHOOL;09.05.2008;$1,000
FAIRFIELD UNIVERSITY;10.05.2007;$500
FAIRFIELD UNIVERSITY;02.04.2008;$125
FAIRFIELD UNIVERSITY;05.01.2008;$75
FAIRFIELD UNIVERSITY;7/23/2008;$750
FAMILIES AND WORK INSTITUTE;5/30/2008;$7,500
FAMILY SERVICE OF MORRIS CITY;05.01.2008;$500
FAMILY VIOLENCE PREVENTION FUND;12.04.2007;$50
FAMILY VIOLENCE PREVENTION FUND;5/14/2008;$1,950
FAR BROOK SCHOOL;05.01.2008;$2,000
FAR EAST BROADCASTING COMPANY INC;5/20/2008;$100
FATHER FLANAGAN'S BOYS' HOME;02.04.2008;$100
FEDERATION JEWISH COMMUNITIES OF;01.10.2008;$500
FEED THE CHILDREN INC;05.01.2008;$110
FEED THE CHILDREN INC;06.10.2008;$250
FENWAY COMMUNITY HEALTH CENTER;3/17/2008;$200
FERTILE HOPE;02.04.2008;$300
FERTILE HOPE;05.07.2008;$150
FIGHT FOR SIGHT;10.05.2007;$500
FIGHT FOR SIGHT;10/24/2007;$50
FILOLI CENTER;10.05.2007;$250
FISK UNIVERSITY;10.05.2007;$2,000
FIVER FOUNDATION;10.05.2007;$1,250
FIVER FOUNDATION;12/19/2007;$1,000
FIVER FOUNDATION;02.04.2008;$4,425
FIVER FOUNDATION;06.10.2008;$1,000
FLORENCE GRISWOLD MUSEUM;07.02.2008;$250
FLORIDA STATE UNIVERSITY FOUNDATION INC;11/15/2007;$500
FLORIDA STATE UNIVERSITY FOUNDATION INC;06.10.2008;$2,000
FOOD ALLERGY & ANAPHYLAXIS NETWORK;11/15/2007;$100
FOOD ALLERGY & ANAPHYLAXIS NETWORK;05.07.2008;$250
FOOD ALLERGY INITIATIVE INC;10.12.2007;$150
FOOD ALLERGY INITIATIVE INC;10/24/2007;$100
FOOD ALLERGY INITIATIVE INC;7/16/2008;$2,000
FOOD BANK FOR NEW YORK CITY;02.04.2008;$500
FOOD BANK FOR NEW YORK CITY;05.01.2008;$300
FOOD BANK FOR NEW YORK CITY;06.10.2008;$50
FOOD BANK FOR NEW YORK CITY;7/16/2008;$100
FOOD FOR THE POOR;10/24/2007;$1,500
FOOD GATHERERS;12/19/2007;$250
FORDHAM PREPARATORY SCHOOL;12/19/2007;$1,000
FORDHAM UNIVERSITY;10.05.2007;$1,200
FORDHAM UNIVERSITY;12/19/2007;$500
FORDHAM UNIVERSITY;05.01.2008;$100
FORDHAM UNIVERSITY;05.07.2008;$1,550
FORDHAM UNIVERSITY;7/23/2008;$100
FORDHAM UNIVERSITY;09.05.2008;$750
FORTE FOUNDATION;3/19/2008;$25,000
FORTE FOUNDATION;4/30/2008;$7,500
FORTE FOUNDATION;05.01.2008;$15,000
FOUNDATION FIGHTING BLINDNESS;10/24/2007;$1,000
FOUNDATION FIGHTING BLINDNESS;12/19/2007;$2,050
FOUNDATION FIGHTING BLINDNESS;05.07.2008;$250
FOUNDATION FOR NEW JERSEY PUBLIC;5/20/2008;$500
FOUNDATION FOR STUDENT COMMUNICATION INC;7/23/2008;$15,000
FOUNDATION FOR THE CAROLINAS;3/17/2008;$500
FOUNDATION FOR THE FUTURE;07.02.2008;$100
FOUNDATION OF THE STATE UNIVERSITY OF;10/24/2007;$100
FOUNDATION OF THE STATE UNIVERSITY OF;12/19/2007;$50
FOUNDATION OF THE STATE UNIVERSITY OF;05.01.2008;$200
